RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,Ave_13-15
9,California,1,159228,159034,158882,158789,158774,158800,158949,159126,159380,159396,159476,159640,160101,160654,161236,161949,162709,163561,164328,165217,166228,167637,169196,170688,171955,173100,174288,175362,176535,177818,179179,180439,181510,182774,184110,185509,186760,188057,189592,191229,192681,193984,195510,197359,199400,201382,203278,205230,207338,209641,212041,214510,217141,219854,222483,225101,227749,230287,232915,235655,238551,241146,243422,245432,247413,249439,251562,253648,255738,257863,260173,262555,265134,267897,271136,274809,278693,282504,286348,290431,294643,298679,302374,306081,309796,313635,316931,320584,324620,329343,334047,339109,344166,350003,356216,362809,369568,377148,385754,394187,402016,409445,416871,423848,430955,437513,444624,451565,458907,465343,471286,477376,483708,490273,496478,501526,506003,509739,512867,515832,518013,520467,521742,522148,521749,520244,518527,517032,515608,514159,512230,510059,507841,504476,500841,496410,491759,486236,479790,473304,466059,458808,449727,439439,428270,417277,407170,397051,387566,378925,371182,362559,354051,346179,341315,337039,333087,329522,326963,325697,324827,324258,324268,325748,327712,329166,328973,329738,330898,332595,332133,330861,329222,327928,326222,323888,321880,320180,318736,316551,314329,311273,309477,308053,306659,304995,303176,302454,301291,300564,300012,300186,300863,302378,304272,306560,309438,312773,316890,320686,325698,330653,336524,343022,350288,357729,365234,372595,379769,386106,391615,396663,401051,405503,409161,411307,412351,412956,413781,415079,415761,417005,418339,420771,422569,424461,426609,429840,432536,435360,437538,439677,442224,445145,448312,450795,454249,457298,459941,461586,464209,466729,469406,471700,474635,477339,480296,482792,484939,487302,489848,492934,495733,498963,502425,505338,508025,510995,514390,518467,522645,527025,531352,535175,538029,540172,542138,544341,545998,546975,547687,548339,548137,547496,546297,545777,546070,546697,547361,548276,549641,551515,553441,555360,558124,561325,407016.0556
54,Texas,2,97402,97539,97655,97742,97863,98016,98196,98410,98649,98673,98674,98664,98796,98889,99017,99149,99316,99493,99735,99962,100198,100669,101118,101563,101687,101895,102108,102415,102652,102875,102947,102984,102989,103208,103691,104354,105091,105772,106446,107090,107638,108090,108620,109201,109786,110166,110445,110615,110803,110844,110884,110885,111073,111320,111566,111858,112180,112406,112399,112238,112143,112229,112333,112457,112503,112609,112735,112825,112914,113017,113253,113590,114008,114430,114919,115399,115889,116305,116686,117082,117464,117740,117828,117819,117858,117985,118220,118442,118723,118961,119272,119549,119868,120444,121472,122818,123951,124796,125287,125879,126422,127084,127693,128273,128848,129468,129872,130123,130299,130557,130948,131276,131614,131898,132080,132382,132616,132979,133384,133835,134270,134783,135313,135854,136320,136823,137482,138046,138617,139014,139303,139507,139826,140188,140601,140895,141357,141803,142192,142460,142690,142493,142094,141542,141196,140809,140438,140152,139755,139259,138717,138136,137582,137283,137271,137337,137221,137064,136926,136893,136809,136755,136683,136894,137061,137151,137127,137140,137232,137257,137139,136674,136147,135617,135192,134682,134258,133851,133331,132763,132195,131735,131313,131130,131105,131200,131222,131097,130929,130902,131137,131481,131776,132092,132440,132867,133249,133540,133820,134269,134855,135542,136181,136931,137771,138631,139500,140388,141320,142349,143432,144507,145457,146318,147205,147994,148756,149551,150467,151339,152283,153225,154198,155165,156168,157185,158193,159273,160374,161401,162410,163403,164363,165245,166184,167039,167937,168875,169786,170668,171521,172547,173515,174567,175485,176463,177349,178455,179625,180678,181726,182657,183658,184506,185366,186126,186890,187711,188680,189659,190543,191306,192117,193128,194266,195357,196373,197281,198220,198983,199874,200637,201556,202436,203319,204000,204537,205111,205704,206364,206973,207621,208052,208467,208731,209048,151324.5833
43,New York,3,138497,138393,138328,138248,138166,138129,138147,138205,138309,138285,138564,138868,139238,139370,139537,139842,140144,140438,140658,141088,141549,142412,142910,143382,143483,143744,144008,144143,144557,145061,145842,146311,146802,147060,147588,148153,149023,149966,150977,152296,153368,154428,155191,156030,156790,157538,158595,159816,161181,162392,163575,164509,165358,166182,167149,168346,169600,170875,171926,172978,174011,175134,176262,177434,178661,179873,181191,182549,183977,185443,186848,188077,189335,190630,192064,193533,195093,196646,198159,199709,201390,203065,204841,206956,208950,210857,212548,214272,216190,218189,220243,222006,223655,225438,227227,228860,230560,232455,234621,236856,238950,241125,243207,245578,247802,250063,252335,254559,256947,259286,261543,263851,266213,268730,271227,273495,275821,277840,279727,281302,282710,283951,285258,286325,287200,287634,287905,288031,288202,288312,288464,288743,288861,289123,289108,289223,289270,289280,289533,289794,289776,289690,289267,288826,288129,287135,286063,284770,283574,282287,280688,278975,277381,275838,274416,273003,271720,270548,269327,268242,267254,266644,266374,266300,266261,266091,266045,265894,266073,266153,266536,266670,266449,265839,264922,264063,263129,262517,261925,261487,260622,259714,258521,257609,256946,256500,256172,255676,255279,254810,254229,253706,253342,253290,253368,253479,253659,253854,253990,254265,254626,255021,255616,256123,256878,257567,258386,259195,259899,260604,261440,262292,263045,263793,264516,265366,265982,266494,266869,267143,267490,267858,268313,268758,269353,269927,270387,270689,271098,271609,272279,273048,273798,274546,275123,275690,276089,276521,277262,278211,279201,280045,280716,281418,282231,283093,284089,285147,286456,287696,288646,289469,290494,291913,293622,295226,296690,298057,299485,300918,302165,303503,304955,306449,307866,309124,310440,311896,313462,315109,316554,317799,318811,319703,320625,321642,322539,323351,323969,324495,324947,325330,325762,326269,326929,327569,266174.5556
14,Florida,4,100264,100464,100692,100911,101108,101237,101371,101522,101711,101721,101785,101866,102169,102449,102696,102935,103188,103480,103742,104046,104351,105039,105615,106122,106217,106383,106493,106656,106903,107344,107872,108257,108556,108634,108835,109075,109517,109961,110585,111236,111822,112214,112557,113030,113548,114110,114674,115321,116021,116688,117304,117890,118487,119154,119861,120631,121431,122262,123128,124013,124916,125854,126806,127845,128918,130061,131218,132352,133454,134529,135562,136574,137605,138678,139793,140911,142093,143248,144465,145707,147135,148615,150179,151718,153268,154756,156150,157491,158827,160331,162002,163814,165562,167368,169198,171103,172971,175058,177395,179992,182827,185762,188756,191750,194975,198390,202037,205868,209984,214407,219199,224406,229705,234972,239926,244666,249170,253405,257187,260990,264759,268103,270618,272118,273000,273146,272950,272569,271710,270720,269467,267908,265787,263297,260379,257206,253939,250771,247581,244106,240546,236525,232419,227925,223647,219137,214991,210753,206480,202212,197853,193404,189141,185164,181568,178116,174630,171507,168619,166355,164313,162471,160967,160038,159192,158508,157755,157249,156773,156236,155436,154351,153070,151717,150240,148645,147152,145625,144209,142717,141382,140113,139116,138205,137586,137114,136872,136727,136616,136615,136664,136970,137444,138022,138698,139483,140377,141324,142353,143430,144674,146132,147778,149472,151199,153082,154961,156984,159062,161179,163060,164888,166558,168111,169424,170692,171766,172770,173624,174491,175124,175849,176832,177906,178991,179997,181133,182262,183390,184562,185812,186989,188330,189726,191117,192371,193737,195210,196764,198096,199430,200668,202068,203528,204913,206142,207276,208585,209846,211157,212346,213605,215014,216417,217806,219050,220449,221806,223151,224344,225560,226479,227563,228845,230319,231791,233018,234181,235281,236419,237485,238535,239615,240590,241231,241601,242006,242405,242951,243608,244237,244872,245566,246290,246964,247841,172204.4722
21,Illinois,5,137859,137349,137048,136625,137087,137790,139243,140430,141333,141640,141638,141772,141653,141798,141604,141354,139348,136849,133145,130222,128067,127231,127075,126985,126955,126907,126856,127156,128332,130015,132228,134118,135567,136237,136615,137003,137513,137945,138691,139491,140275,140802,141445,142226,143063,144067,145071,146082,146985,147866,148711,149503,150411,151390,152396,153428,154507,155544,156451,157376,158359,159475,160538,161517,162446,163448,164522,165608,166564,167457,168387,169482,170425,171418,172354,173517,174631,175694,176710,177617,178693,179739,180923,181947,183086,184034,184940,185791,186861,188100,189312,190468,191485,192688,193833,195018,196271,197624,199169,200589,201933,203044,204244,205604,207101,208415,209739,211042,212469,213887,215358,216848,218292,219921,221504,222956,224277,225495,226762,227816,228851,229703,230451,230993,231592,231998,232345,232540,232865,233331,233915,233769,233648,232841,232637,231842,231519,230715,230232,229574,228779,227956,225753,225050,222651,221996,219309,218127,215471,213936,211369,209282,206290,203252,200971,198448,196708,194306,192545,191124,189979,188428,187191,186063,185904,185339,185076,183722,183596,182466,182489,180338,179211,177428,176460,174568,172950,171337,170093,168945,167098,165820,163989,163544,162449,161889,160135,159241,157799,157032,155498,155133,154653,154645,154211,153597,153036,152524,152855,153388,153957,154621,155506,156120,157021,157625,158824,159939,161522,162915,164471,165275,166309,166914,167818,168211,168379,168798,169516,170264,170688,171216,171515,172083,172474,172842,172957,173457,174245,175010,175237,175508,175748,176081,176321,176611,177067,177654,178680,179554,180288,180790,181433,182202,182934,183559,184252,185098,186012,186993,187760,188673,189513,190287,190876,191387,192069,192834,193687,194482,195342,196189,196820,197186,197517,197985,198600,199094,199546,200077,200565,201025,201261,201325,201520,201802,202188,202509,202749,203053,203271,203373,203419,203453,203574,203780,168308.5556
47,Pennsylvania,6,95422,95324,95277,95243,95282,95309,95390,95491,95623,95721,95825,95985,96199,96463,96708,96976,97109,97269,97369,97560,97776,98078,98361,98582,98716,98829,98917,99009,99246,99529,99865,100040,100136,100200,100336,100522,100762,100985,101251,101525,101776,102039,102283,102606,102992,103427,103936,104430,104913,105389,105836,106276,106650,107043,107462,107956,108481,108999,109463,109955,110461,110914,111351,111793,112283,112769,113248,113801,114338,114914,115483,116107,116750,117384,118004,118650,119423,120213,121051,121781,122573,123379,124209,125023,125836,126735,127694,128622,129490,130379,131335,132242,133113,133935,135042,136138,137272,138402,139570,140884,142111,143426,144621,145985,147362,148853,150016,151211,152445,153791,155191,156601,158178,159694,161167,162530,163855,165030,166102,167083,168070,169059,170067,170887,171559,172072,172552,172922,173261,173670,174135,174642,174975,175272,175417,175717,175968,176167,176291,176438,176560,176505,176346,175995,175666,175203,174724,174029,173321,172684,172127,171494,170749,169967,169379,168904,168479,168030,167652,167410,167185,167046,167006,167164,167384,167691,167887,168076,168205,168259,168200,167924,167492,166811,166001,165083,164233,163433,162686,161953,161127,160321,159509,158887,158469,158253,158061,157818,157522,157189,156862,156575,156409,156342,156263,156148,156062,156000,156022,156076,156215,156405,156607,156819,157112,157435,157843,158265,158626,158962,159208,159510,159726,159965,160193,160388,160443,160463,160607,160843,161032,161140,161254,161402,161621,161794,161932,162220,162647,163182,163447,163611,163794,164125,164507,164848,165094,165494,166039,166396,166611,166688,167127,167605,168170,168601,169059,169583,170282,170766,171208,171634,172365,173133,173870,174576,175297,176088,176919,177660,178385,179211,180088,181280,182325,183303,183903,184482,185053,185704,186294,186982,187631,188351,189053,189506,189937,190431,191172,191936,192675,193333,194003,194623,195248,195810,160751.9444
44,Ohio,7,92080,92395,92684,92941,93227,93524,93824,94121,94429,94726,95023,95304,95592,95888,96216,96567,96870,97159,97425,97710,98009,98369,98768,99152,99473,99785,100118,100500,100889,101286,101725,102141,102487,102736,103005,103335,103676,103954,104210,104480,104802,105140,105487,105850,106301,106830,107355,107790,108243,108775,109352,109840,110279,110711,111131,111562,111976,112383,112748,113145,113530,113887,114188,114521,114876,115228,115564,115870,116156,116421,116690,116987,117278,117579,117871,118178,118457,118741,119043,119402,119773,120141,120499,120829,121183,121530,121924,122321,122784,123242,123688,124045,124396,124711,125070,125441,125800,126163,126495,126848,127129,127422,127702,128029,128354,128740,129121,129500,129837,130125,130421,130684,130987,131261,131554,131869,132168,132398,132538,132660,132781,132900,132977,133049,133072,133017,132949,132861,132766,132678,132635,132471,132243,131947,131690,131367,131054,130830,130584,130196,129803,129433,129050,128708,128287,127892,127433,127066,126655,126164,125534,125019,124399,123696,122852,122096,121528,121065,120626,120165,119733,119392,119213,119034,118941,118847,118928,118864,118796,118619,118412,117982,117482,116913,116343,115717,115050,114497,113925,113438,112797,112186,111614,111261,110980,110709,110390,110117,109898,109620,109319,109120,109023,108894,108702,108550,108507,108556,108610,108645,108709,108904,109186,109426,109693,110033,110478,110879,111268,111559,111952,112294,112583,112606,112564,112520,112588,112718,112921,113164,113311,113516,113660,113961,114339,114890,115480,116011,116456,116915,117348,117780,118192,118588,118973,119334,119660,120065,120459,120969,121436,121864,122277,122734,123269,123831,124408,125037,125729,126461,127155,127800,128472,129123,129792,130374,131126,131919,132817,133589,134308,134784,135379,136055,137014,137905,138716,139477,140131,140718,141291,142034,142798,143613,144273,144936,145417,145979,146608,147323,148026,148762,149453,150067,150683,151382,113770.8333
30,Michigan,8,91412,92065,92733,93337,93897,94413,94924,95487,96101,96746,97339,97957,98503,99081,99579,100166,100826,101555,102283,102933,103496,104071,104677,105275,105836,106383,107001,107632,108240,108859,109494,110126,110778,111295,111950,112573,113352,114076,114901,115690,116491,117243,117983,118727,119479,120358,121137,121970,122727,123574,124362,125232,126036,126790,127494,128281,129095,129821,130452,131051,131660,132280,132825,133352,133895,134512,135091,135603,136064,136584,137118,137676,138137,138489,138837,139131,139475,139757,140091,140438,140804,141140,141537,141807,142194,142641,143189,143698,144163,144665,145194,145677,146140,146570,146973,147451,147848,148251,148629,149080,149495,149862,150226,150592,150956,151337,151645,151990,152327,152724,152999,153209,153426,153698,153916,154092,154230,154363,154489,154517,154442,154237,153931,153663,153275,152890,152343,151773,151057,150315,149633,148971,148357,147502,146716,145706,144975,143869,142729,141403,140392,139425,138255,136810,135038,133338,131616,129909,127919,126148,124696,123317,121554,119353,117274,115280,113583,111923,110347,109127,108024,107149,106070,105250,104551,104298,103930,103714,103579,103601,103631,103227,102676,101866,101151,100353,99726,99017,98482,97802,97110,96378,95690,95209,95013,95044,95103,95111,95121,95169,95193,95472,95798,96279,96784,97444,98066,98657,99388,100205,100976,101769,102780,103945,105171,106349,107546,108838,110215,111673,112973,114198,115452,116729,117829,118662,119380,120135,120972,121685,122245,122674,123158,123712,124218,124741,125303,126031,126677,127201,127663,128178,128796,129303,129812,130406,131204,131947,132639,133127,133889,134702,135622,136538,137410,138483,139556,140532,141381,142217,143110,144151,145212,146379,147372,148195,149048,149933,150896,151902,152883,154086,155312,156546,157623,158558,159569,160575,161660,162590,163473,164230,165152,165835,166525,167099,167728,168394,169060,169805,170461,171158,171831,172583,173222,173923,119100.6389
16,Georgia,9,102496,102845,103215,103560,103907,104247,104617,105003,105420,105758,106146,106560,107058,107525,107947,108406,108910,109463,109994,110509,111031,111763,112430,113026,113398,113883,114433,115024,115600,116156,116734,117340,117911,118376,118875,119468,120194,120887,121596,122335,123021,123716,124390,125081,125742,126370,127107,127900,128781,129603,130418,131202,132039,132878,133745,134619,135577,136555,137373,138090,138711,139412,140072,140735,141389,142021,142623,143184,143715,144207,144738,145229,145736,146202,146681,147120,147492,147869,148259,148647,148966,149310,149653,150056,150370,150645,150898,151181,151509,151826,152123,152435,152823,153215,153630,154028,154481,154912,155303,155702,156157,156648,157175,157664,158115,158513,158898,159313,159816,160420,161073,161665,162205,162775,163342,163976,164530,165162,165750,166304,166733,167118,167564,168082,168591,169040,169445,169830,170279,170717,171135,171535,171860,172070,172116,172049,171921,171646,171326,170939,170614,170006,169224,168218,167381,166562,165669,164599,163398,162246,160967,159407,157481,155693,154023,152472,150622,148811,147159,145931,144887,143947,142947,142184,141640,141074,140451,139856,139614,139433,139063,138124,136878,135354,134041,132651,131521,130301,129299,128003,126571,124927,123477,122380,121738,121465,121214,120915,120262,119776,119278,119350,119535,119935,120355,120862,121187,121349,121562,122154,122981,124025,125111,126173,127169,128256,129442,130644,131985,133402,134842,136057,137325,138400,139466,140324,141188,141936,142628,143380,144082,144835,145524,146239,146888,147522,148124,148712,149391,150220,151115,151881,152628,153345,154028,154702,155357,156189,157004,157963,158901,159769,160470,161090,161722,162251,162965,163752,164712,165506,166382,167241,168147,169049,170102,171280,172421,173767,175044,176453,177795,179210,180572,181725,182914,184143,185490,186787,188012,189157,190317,191508,192589,193517,194330,195285,196265,197203,197981,198733,199538,200298,201015,201590,202214,202914,141565.1667
36,North Carolina,10,109711,110099,110538,111004,111460,111861,112333,112859,113422,113971,114512,115101,115658,116177,116605,116987,117459,118024,118469,118840,119173,119606,119976,120310,120645,121123,121657,122213,122652,123065,123537,123986,124413,124713,125104,125480,125946,126301,126649,127015,127378,127767,128111,128530,128973,129420,129955,130495,131082,131618,132147,132629,133080,133519,133977,134514,135062,135648,136052,136421,136713,137043,137358,137625,137956,138273,138619,138841,139030,139187,139382,139602,139783,140011,140221,140492,140701,140910,141098,141304,141514,141743,141980,142236,142468,142705,142900,143123,143384,143655,143908,144164,144475,144857,145239,145606,145961,146280,146641,146972,147316,147712,148150,148660,149167,149590,150089,150547,151143,151721,152421,153160,153936,154697,155515,156318,157124,157909,158688,159496,160296,161150,161961,162819,163662,164500,165258,165943,166611,167323,167944,168580,169182,169831,170467,171003,171488,171846,172112,172370,172588,172755,172774,172707,172555,172323,171952,171501,171075,170615,170111,169420,168662,167849,167269,166683,165974,165092,164253,163584,162858,162246,161740,161440,161107,160801,160340,159942,159705,159573,159344,158834,158259,157598,156985,156318,155709,155022,154342,153545,152613,151774,151112,150628,150123,149717,149193,148701,148217,147865,147602,147420,147438,147361,147228,147101,147157,147212,147319,147442,147558,147714,147870,148197,148538,149005,149502,150018,150531,150994,151522,151977,152544,153013,153501,153801,154047,154256,154440,154597,154675,154864,155083,155470,155849,156330,156810,157424,157948,158407,158837,159390,160032,160584,161075,161477,161844,162258,162761,163230,163828,164554,165456,166324,167140,167998,168840,169734,170653,171524,172320,173199,174150,175085,175892,176594,177385,178248,179306,180309,181365,182420,183559,184620,185554,186540,187565,188723,189801,190815,191633,192529,193423,194417,195300,196189,197118,197984,198840,199640,200454,201263,202116,202911,203656,204311,154504.6111
