Fips,Area,2013,2014,2015,2016,2017,2013-2015
0,United States,48534,49329,50301,50660,51337,49388
1000,Alabama,36674,36473,36818,37158,37508,36655
2000,Alaska,69711,67179,65971,63304,63610,67620.33333
4000,Arizona,38352,38534,38787,38940,39583,38557.66667
5000,Arkansas,35888,36265,36295,36502,36714,36149.33333
6000,California,53838,55571,57637,58974,60359,55682
8000,Colorado,50523,52105,53007,52863,54026,51878.33333
9000,Connecticut,62438,62023,62796,62745,62633,62419
10000,Delaware,60738,63555,64809,63578,63955,63034
11000,District of Columbia,159264,159369,159530,159141,159607,159387.6667
12000,Florida,38018,38466,39334,39608,39842,38606
13000,Georgia,42513,43467,44246,45238,45925,43408.66667
15000,Hawaii,49484,49591,51052,51964,52869,50042.33333
16000,Idaho,34787,35173,35679,36256,36441,35213
17000,Illinois,51919,52984,53709,54308,55102,52870.66667
18000,Indiana,43876,44818,44721,45717,46427,44471.66667
19000,Iowa,48034,49688,51379,52248,52284,49700.33333
20000,Kansas,45468,46235,46792,47548,47435,46165
21000,Kentucky,38259,38336,38419,38736,39277,38338
22000,Louisiana,43721,44475,44751,44440,44372,44315.66667
23000,Maine,37508,38149,38415,39125,39521,38024
24000,Maryland,53751,54108,54661,55786,56375,54173.33333
25000,Massachusetts,61842,62528,64660,65168,66500,63010
26000,Michigan,40992,41544,42594,43330,44201,41710
27000,Minnesota,52023,53109,53257,54295,54805,52796.33333
28000,Mississippi,31952,31635,31714,32334,32447,31767
29000,Missouri,42498,42527,42785,42736,43036,42603.33333
30000,Montana,38567,39319,40148,40041,39833,39344.66667
31000,Nebraska,51597,53109,54048,54660,54654,52918
32000,Nevada,43074,43075,44057,44142,44812,43402
33000,New Hampshire,48873,49623,51020,51827,52509,49838.66667
34000,New Jersey,55659,55563,56196,56428,56776,55806
35000,New Mexico,39659,40769,41457,41334,41619,40628.33333
36000,New York,62320,63174,64286,64522,65220,63260
37000,North Carolina,42909,43400,44180,44194,44706,43496.33333
38000,North Dakota,67755,70876,67618,64257,64911,68749.66667
39000,Ohio,45262,46671,47098,47419,48188,46343.66667
40000,Oklahoma,43317,45418,46370,44418,44535,45035
41000,Oregon,48169,48130,49715,50751,51312,48671.33333
42000,Pennsylvania,48289,49228,50489,50978,51841,49335.33333
44000,Rhode Island,46367,46663,47519,47662,48314,46849.66667
45000,South Carolina,35716,36325,36952,37269,37637,36331
46000,South Dakota,47003,47039,47980,48306,48004,47340.66667
47000,Tennessee,41513,41858,42902,43720,44348,42091
48000,Texas,52007,52879,54200,53104,53737,53028.66667
49000,Utah,42306,43264,44392,44947,45493,43320.66667
50000,Vermont,42989,43222,43605,44354,44831,43272
51000,Virginia,51112,50855,51486,51443,52124,51151
53000,Washington,54197,55338,56617,57796,59333,55384
54000,West Virginia,35772,36017,36233,36155,37353,36007.33333
55000,Wisconsin,45895,46456,47268,48063,48666,46539.66667
56000,Wyoming,60806,60853,61304,59327,61091,60987.66667
91000,New England,56689,57068,58477,58882,59637,57411.33333
92000,Mideast,57659,58353,59364,59756,60421,58458.66667
93000,Great Lakes,46076,47035,47644,48276,49034,46918.33333
94000,Plains,48092,49005,49473,49919,50145,48856.66667
95000,Southeast,40543,40910,41547,41867,42300,41000
96000,Southwest,48205,49119,50214,49320,49902,49179.33333
97000,Rocky Mountain,45634,46727,47610,47653,48398,46657
98000,Far West,53029,54362,56166,57319,58589,54519
